timestamp,available_proxies,health_status,api_request_status,api_request_duration,simulation_status
1757237352,1,200,200,0,normal
1757237354,1,200,200,0,normal
1757237356,1,200,200,0,blocked
1757237358,1,200,200,0,blocked
1757237360,1,200,200,1,blocked
1757237363,1,200,200,0,blocked
1757237365,1,200,200,0,blocked
1757237367,1,200,200,0,blocked
1757237369,1,200,200,0,blocked
1757237371,1,200,200,0,blocked
1757237373,1,200,200,0,blocked
1757237375,1,200,200,0,blocked
1757237377,1,200,200,0,blocked
1757237379,2,200,200,0,blocked
1757237382,2,200,200,0,blocked
1757237384,2,200,200,0,blocked
1757237386,2,200,200,0,normal
1757237388,2,200,200,0,normal
1757237390,2,200,200,0,normal
